lead,147
oft,146
olivia,146
hastings,146
report,146
lest,146
past,145
sirrah,145
salisbury,145
gives,145
oath,145
door,144
iii,144
cardinal,144
ready,143
yield,143
somerset,142
soon,142
eat,142
withal,142
julia,142
heavens,141
presently,141
sovereign,141
attendants,141
highness,141
suit,141
london,141
viola,141
prospero,141
point,140
sebastian,140
arm,140
liege,139
tranio,139
wherefore,139
duchess,139
self,138
tender,138
country,138
marcus,138
marcius,138
just,138
sicinius,138
grow,137
pay,137
sing,137
lips,136
lov'd,136
deep,136
fare,135
hours,135
bold,135
want,134
signior,134
met,134
clifford,134
bene,134
romeo,134
bertram,134
wars,134
water,134
flourish,133
lucio,133
apemantus,132
ladies,132
paris,132
deny,132
wouldst,131
sworn,131
counsel,130
flesh,130
caius,130
fast,129
god's,129
appear,129
guard,129
letters,128
norfolk,128
knight,128
speaks,128
city,128
mouth,127
fell,127
spirits,127
pale,127
office,127
posthumus,127
moon,126
slave,126
speech,126
lucentio,126
white,126
celia,126
witness,125
bosom,125
woe,125
town,125
charles,125
confess,125
write,125
saint,124
ajax,124
morning,124
thersites,124
camillo,124
sense,124
anon,124
claud,124
slain,124
glad,124
traitor,123
'twere,123
malvolio,123
sport,123
walk,123
silvia,123
fetch,122
march,122
got,122
roman,122
bad,122
armado,122
iv,121
countess,121
rage,120
conscience,120
bassanio,120
leon,120
living,120
costard,119
elizabeth,119
strength,119
soft,119
lafeu,118
deeds,118
dream,118
favour,118
glou,118
loss,117
excellent,117
jul,117
hero,117
provost,116
kill'd,116
attend,116
pretty,116
hair,115
whilst,115
win,115
vile,115
loving,115
hortensio,115
maria,114
wonder,114
action,114
plain,114
ulysses,113
touch,113
form,113
chamber,113
kings,113
bianca,112
battle,112
silence,112
simple,112
longer,112
begin,112
lordship,112
parts,111
katherina,111
entreat,111
souls,111
hide,110
marriage,110
drum,110
pride,110
hostess,110
issue,110
shepherd,110
he'll,110
noise,110
grant,109
servants,109
cymbeline,109
mighty,109
case,109
fortunes,109
takes,109
dull,109
macduff,109
hor,109
doctor,109
children,109
widow,108
heads,108
katharine,108
morrow,108
chief,108
kate,108
slender,108
heir,108
baptista,107
count,107
pluck,107
evans,107
force,107
passion,106
roderigo,106
bears,106
presence,106
shylock,105
harry,105
bless,105
tale,105
going,105
green,104
died,104
teach,104
castle,104
charmian,104
throw,104
cloten,104
chance,104
paper,103
close,103
poins,103
hamlet,103
jest,103
cominius,103
pisanio,103
on't,103
where's,103
weak,103
feel,103
awhile,102
promise,102
moth,102
shows,102
dies,102
worst,102
subject,102
officer,102
masters,102
choose,102
fools,101
'gainst,101
health,101
enemies,101
honourable,101
cap,101
hadst,101
shake,101
dauphin,101
to't,101
gates,101
quick,101
boyet,100
adieu,100
buy,100
writ,100
wolsey,100
feast,100
judgment,100
respect,100
danger,99
princes,99
lysander,99
curse,99
gratiano,99
deliver,99
fashion,99
went,99
troth,98
exeter,98
understand,98
escalus,98
v,98
edg,98
dangerous,98
breast,97
kept,97
cade,97
hermia,97
mortal,96
iachimo,96
wert,96
quarrel,96
faults,96
army,96
lack,96
aaron,96
grumio,95
foolish,95
measure,95
cast,95
won,95
beg,95
stop,95
low,95
virtuous,95
valour,95
tent,94
short,94
scorn,94
westmoreland,94
consent,94
taken,94
hearing,94
receive,94
hubert,94
offence,94
beard,94
plague,94
small,93
laid,93
wisdom,93
ta'en,93
stood,93
worship,93
look'd,93
angry,93
try,93
aufidius,93
fine,93
lend,93
aguecheek,92
sorry,92
gremio,92
troy,92
men's,92
thither,92
harm,92
rosaline,92
order,92
forget,92
calls,92
murderer,92
book,92
golden,91
learn,91
year,91
witch,91
brief,91
agamemnon,91
kingdom,91
lion,91
prison,91
ariel,91
sings,91
adriana,91
stephano,90
hurt,90
banish'd,90
forward,90
senator,90
pains,90
emperor,90
turn'd,90
alive,90
ass,89
treason,89
fearful,89
reads,89
fluellen,89
tamora,89
perceive,89
lewis,88
grey,88
forgot,88
touchstone,88
commend,88
judge,88
love's,88
fled,88
shape,87
fresh,87
officers,87
patient,87
offer,87
title,87
piece,87
jaques,87
dinner,86
birth,86
venice,86
carry,86
honesty,86
corn,86
greater,86
humour,86
pol,86
mock,86
alarum,86
quite,86
drawn,85
moor,85
constable,85
broke,85
laugh,85
ghost,85
coward,85
diomedes,85
glory,85
blow,85
wild,85
trumpet,84
prayers,84
walls,84
who's,84
in't,84
trumpets,84
held,84
polixenes,84
woman's,84
paulina,84
wine,83
wounds,83
street,83
opinion,83
whereof,83
holds,82
citizens,82
purse,82
blame,82
launce,82
suffer,82
boys,82
belarius,82
jack,82
safe,81
making,81
stir,81
prisoner,81
caesar's,81
falls,81
aeneas,81
lorenzo,81
match,81
steal,81
blind,80
taste,80
wast,80
tear,80
manner,80
feed,80
pucelle,80
launcelot,80
double,80
wits,79
e'er,79
vow,79
sudden,79
burgundy,79
labour,79
brain,79
camp,79
folly,79
song,79
poison,79
edm,79
borne,79
rogue,79
brother's,79
motion,79
shadow,78
whiles,78
knowledge,78
tower,78
vain,78
desires,78
ancient,78
lancaster,78
quiet,77
burn,77
la,77
plantagenet,77
view,77
excuse,77
blessed,77
smile,77
trouble,77
brook,77
rise,77
wales,76
awake,76
fears,76
weary,76
alack,76
endure,76
precious,76
percy,76
obey,76
dark,76
aught,76
amen,76
princely,76
guiderius,76
grows,76
proof,76
dumain,76
drop,75
lieutenant,75
keeps,75
cunning,75
autolycus,75
thomas,75
goodly,75
terms,75
brothers,75
peter,75
helen,75
bones,75
struck,74
occasion,74
woo,74
tongues,74
cheek,74
bitter,74
fabian,74
juliet,74
mother's,74
forbid,74
greatness,73
know'st,73
safety,73
round,73
knock,73
colour,73
reg,73
wound,73
wrongs,73
owe,73
train,73
bond,73
do't,73
shouldst,73
biondello,73
affection,73
orleans,72
effect,72
dispatch,72
heels,72
'twixt,72
advantage,72
't,72
lavinia,72
catesby,72
approach,72
ross,72
proceed,72
cheer,72
casca,72
forgive,72
montague,71
athens,71
thurio,71
blows,71
edmund,71
malice,71
scarce,71
large,71
foes,71
cheeks,71
wealth,71
neck,71
caliban,71
aumerle,71
fellows,71
dance,71
rude,71
stars,70
liberty,70
seven,70
leaves,70
legs,70
bearing,70
twice,70
wretched,70
beast,70
forest,70
wall,70
patroclus,70
manners,70
cruel,70
choice,69
room,69
jove,69
pleas'd,69
brow,69
archbishop,69
christian,69
melancholy,69
monster,69
spent,69
lo,69
hang'd,69
cried,69
priest,69
lepidus,69
meat,69
yonder,69
philip,69
doing,69
gaunt,69
catch,69
swords,69
mayst,68
oaths,68
for't,68
madness,68
say'st,68
jew,68
drunk,68
steel,68
honours,68
embrace,68
volumnia,68
banquo,68
ben,68
pure,68
red,68
sort,68
bright,68
richmond,68
fame,68
rough,68
affairs,67
story,67
led,67
chamberlain,67
gentlewoman,67
vows,67
argument,67
blunt,67
follows,67
ways,67
idle,66
seal,66
fain,66
creature,66
thief,66
spend,66
private,66
defend,66
katherine,66
tribunes,66
master's,66
guilty,66
gonzalo,66
fat,66
throne,66
benedick,65
request,65
depart,65
deserve,65
nerissa,65
prepare,65
quoth,65
loud,65
pain,65
paid,65
winchester,65
gift,65
heat,65
damn'd,65
theseus,65
dry,65
murder,65
fought,65
fury,65
swift,65
thrice,65
nestor,65
chain,64
lucetta,64
england's,64
food,64
courage,64
nose,64
breathe,64
monstrous,64
reasons,64
miranda,64
courtesy,64
post,64
saturninus,64
rose,64
eros,64
george,64
wood,64
humble,63
colours,63
liv'd,63
remain,63
hail,63
arviragus,63
abroad,63
niece,63
secret,63
cries,63
wicked,63
church,63
leisure,63
remembrance,63
proper,63
knee,63
forsworn,63
nym,63
sharp,63
diana,63
foe,62
sooner,62
cross,62
thunder,62
doors,62
holofernes,62
laer,62
kneel,62
evil,62
mer,62
tune,62
easy,62
study,62
wait,62
claim,62
'twill,62
mortimer,62
humbly,61
finger,61
lady's,61
lawful,61
warlike,61
broken,61
instant,61
arthur,61
flavius,61
gate,61
fiend,61
trinculo,60
crowns,60
wives,60
hermione,60
alcibiades,60
longaville,60
mend,60
fail,60
florizel,60
mowbray,60
beggar,60
asleep,60
wanton,60
merchant,60
remedy,59
spite,59
clouds,59
demand,59
silver,59
dust,59
mayor,59
offend,59
le,59
jewel,59
spring,59
sits,59
repent,59
discourse,59
jessica,59
senators,59
powers,59
malcolm,59
dreadful,59
clear,59
able,59
poet,59
rain,59
hit,59
seat,58
herald,58
rivers,58
possible,58
thinks,58
pyramus,58
oph,58
andronicus,58
giving,58
stol'n,58
aid,58
mar,58
single,58
alb,58
feet,58
spare,58
stone,58
shut,58
mere,58
memory,58
stanley,58
ones,58
fairy,57
list,57
storm,57
meaning,57
rare,57
nought,57
receiv'd,57
condition,57
trial,57
luciana,57
bids,57
stones,57
natural,57
buried,57
t',57
forbear,57
public,57
join,57
grown,57
wretch,57
sack,57
happiness,57
saying,56
gain,56
thrive,56
horns,56
sum,56
rascal,56
horses,56
duke's,56
particular,56
beatrice,56
delight,56
griefs,56
agrippa,56
glass,56
betwixt,56
minds,56
hopes,56
fond,56
bare,56
weeping,56
subjects,55
turns,55
absence,55
begins,55
visit,55
cure,55
table,55
wrath,55
denied,55
freely,55
wings,55
oxford,55
authority,55
puck,55
ride,55
quality,55
us'd,55
voices,55
countenance,55
wide,55
dearest,55
goodness,55
supper,54
perfect,54
humphrey,54
despair,54
anger,54
reverend,54
edward's,54
keeper,54
gross,54
lands,54
undone,54
flies,54
teeth,54
heavenly,54
tybalt,54
summer,54
thrust,54
oliver,54
wench,54
traitors,54
intend,53
spoken,53
ransom,53
blest,53
puts,53
lovely,53
deal,53
romans,53
menas,53
tomb,53
womb,53
shore,53
flight,53
ferdinand,53
gon,53
realm,53
brings,53
pound,53
charity,53
gower,53
gallant,53
quince,53
heed,53
faces,53
protest,53
following,52
sickness,52
show'd,52
plot,52
chiron,52
despite,52
obedience,52
drops,52
encounter,52
tidings,52
painted,52
innocent,52
vouchsafe,52
counterfeit,52
lovers,52
vengeance,51
durst,51
treasure,51
wake,51
knife,51
fourth,51
daughters,51
wash,51
number,51
envy,51
ship,51
swore,51
doll,51
greatest,51
tree,51
sigh,51
sign,51
ducats,51
followers,51
promis'd,51
credit,51
vice,51
knees,51
girl,51
meeting,51
lover,51
naked,51
britain,51
francis,50
streets,50
party,50
throat,50
touch'd,50
sighs,50
appears,50
angel,50
seeing,50
tide,50
assure,50
merit,50
bought,50
guess,50
return'd,50
world's,50
modesty,50
trick,50
blush,50
an't,50
rank,50
alonso,50
ease,50
slow,50
seest,50
surrey,50
shed,50
kindness,50
suddenly,50
reignier,49
perchance,49
intent,49
divine,49
doom,49
deadly,49
elbow,49
learned,49
sleeping,49
they'll,49
winds,49
outward,49
chide,49
spake,49
breed,49
taught,49
bestow,49
jealous,49
meant,49
ends,49
protector,49
desperate,49
council,49
mirth,49
civil,49
consider,49
neighbour,49
rule,49
early,49
disgrace,48
gown,48
stuff,48
draws,48
cost,48
constant,48
success,48
estate,48
henry's,48
wont,48
execution,48
alencon,48
names,48
tailor,48
tyrant,48
ignorant,48
challenge,48
don,48
conduct,48
salerio,48
plead,48
smell,48
gifts,48
bedford,48
skill,48
constance,48
heart's,47
commission,47
bow,47
speaking,47
sacred,47
cup,47
fall'n,47
degree,47
prize,47
winter,47
steward,47
hollow,47
vincentio,47
messala,47
enjoy,47
victory,47
contrary,47
forsooth,47
limbs,47
highness',47
loose,47
dread,47
graces,47
sounds,47
strikes,47
perforce,47
reputation,47
stranger,47
satisfied,47
thinking,47
devise,47
fiery,47
main,47
raise,47
virtues,47
loved,47
fancy,47
thieves,46
frame,46
dogs,46
o'clock,46
mariana,46
north,46
kisses,46
shortly,46
cease,46
burden,46
egypt,46
i'd,46
fairly,46
image,46
octavius,46
window,46
frown,46
garments,46
contempt,46
beaten,46
brabantio,46
'i,46
knowing,46
quit,46
sees,46
abuse,46
flood,46
slander,46
phebe,46
murther,46
dying,46
flowers,46
3,46
horatio,46
kinsman,46
hie,46
dares,46
brains,45
policy,45
ratcliff,45
ros,45
ambition,45
thisby,45
bend,45
lust,45
villains,45
according,45
fenton,45
triumph,45
shine,45
behalf,45
account,45
burning,45
blessing,45
sides,45
play'd,45
oberon,45
repair,45
drown'd,45
bark,45
sail,45
haply,45
attended,45
davy,44
weeds,44
equal,44
smiles,44
bodies,44
porter,44
weight,44
unknown,44
bade,44
silvius,44
garden,44
cromwell,44
tarry,44
mov'd,44
fate,44
disposition,44
fear'd,44
painter,44
damned,44
think'st,44
offended,44
serv'd,44
dreams,44
shot,44
tedious,44
bind,44
parted,44
liest,44
warm,44
root,44
salt,44
waste,44
lodovico,44
iron,44
forces,44
laertes,44
country's,44
octavia,44
undertake,44
desert,44
bred,43
runs,43
flatter,43
gent,43
star,43
big,43
numbers,43
attending,43
methought,43
line,43
greet,43
yond,43
soothsayer,43
flower,43
capitol,43
sleeps,43
farther,43
iras,43
advice,43
fish,43
regard,43
bishop,43
faint,43
fortune's,43
custom,43
prisoners,43
brows,43
knaves,43
native,43
drown,43
midnight,43
hid,43
reverence,42
hal,42
west,42
hugh,42
stomach,42
render,42
month,42
dearly,42
perdita,42
tells,42
seas,42
mischief,42
apt,42
woes,42
sirs,42
bury,42
sheep,42
mars,42
search,42
weigh,42
dar'st,42
weapons,42
odds,42
maiden,42
dagger,42
'the,42
bassianus,42
peril,42
